Question,Model_Response
What policies will you pursue to ensure equality and protect the rights of all Americans?,"I think the protection of the rights of minorities, without prejudice to the majority, is absolutely essential in a democratic society. And I think Ive done a good job in Michigan in that area. And I again, I stress that um  affirmative action as far as were concerned in the state of Michigan, there are many programs for women, for minorities, which have benefited them in a very very positive way. Now uh  let me make a point, uh  theres attacks made on our administration because of the Justice Department. The Justice Department is simply enforcing the laws passed by the Congress of the United States. If theyre draconian punishments in the hr  in the antitrust laws, it isnt the responsability of the Justice Department. They have to enforce the laws the way they are written. If something is to be done to limit the uh  punishments for antitrust or if something is to be done to limit the enforcement of antitrust laws as they relate to small businesses, that has to be done by the Congress of the United States. If there are problems as far as uh  the the senatorial appointments that are made and that in California uh  there is no black member of the seniority of the legislature, the courts have ruled over and over that that  thats not a violation of civil rights laws. So when the Congress has the power to make the changes, if something is wrong, they should do it. And with respect to the President and this administration, we have enforced all of the laws  the civil rights laws that relate to minorities, that protect their interest. And I think as far as blacks in this country, I reemphasize, the best friends that the blacks have are those who believe that the future, the destiny of this country as far as their advancement can best take place in a strong Republican Party as  as civil rights leaders did twenty-five to thirty years ago."
How will you lead the country through challenges and unite Americans with differing perspectives?,"Im running for one reason and one reason onlyto unite our country, lead us into the future which is so bright, solve the problems that still exist in our society, and restore our standing of the United States of America in the world, because the future of this world rests, in great part, on the success of the United States."
"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","What you don't W- what you dont have is a plan that makes sense. Let me tell you why. We dont have an immigration policy, we have an amnesty policy, and theres a big difference. [Shouting] They dont have an immigration policy because the President wins one time and grants amnesty to five million people. He then wins another time and grants amnesty to 2 million more people! So you dont have an immigration policy, you have a policy of regularly granting amnesty when you want to reward your friends! What we ought to do is have a policy like Ellis Island, where you have tight parameters on immigration. What we ought to do is differentiate [shouting] between legal immigration and illegal. And that, my friends, is an immigration policy instead of giving amnesty and regularly rewarding your friends! Which is what this administration is up to!"
How will you ensure equal opportunities for marginalized communities in our country?,"Well so far its only uh rhetoric. I must tell you that President Carter had the opportunity for three and a half years to give them the same opportunities that he has enjoyed as an individual himself. You say youre going to ensure this were gonna ensure that. Wheres the record? I mean, this is a national problem. And to simply say well, I support it but I did sign the bill uh leaving out that it was a striped down version. He has had the opportunity as president. And while hes been out campaigning, apparently the justice department has been negotiating with the opposing counsel out in California. And if hes on the road campaigning for president, and the attorney general doesnt even know whether President Carter is a defendant in an antipollution suit while hes campaigning, yet he knew when he was campaigning for the national Democratic Committee in California, in a twenty-five hundred dollars a plate dinner. But he signs Congressional Black Caucus, saying Im for this. Well, we just signed it too. But what have you done for a year and a half, Mr. President? Why have you waited all of these years yourself? Youve been in a position of leadership for 34 years, Mr. Carter. And now that you are so-called running for president, or youve got a challenger, now you suddenly find social inequities. You suddenly find that maybe blacks have had a genuine grievance and he didnt even talk about that in his Panamanian treaty address to the Black Caucus. You suddenly find that the needy need more than lip service. Mr. Carter, you have signed a hundred and thirty-three pieces of wilderness and park legislation. Have you found a problem with inequities between minorities and indigenous people there? Of course not, because those were politically correct. Because thereÿÿwith some notable exceptions like freshmen Congressman Stokes of Ohio, those problems are never raised by minorities, and then he signs them into law! Virtually every liberal piece of legislation Mr. Carter has assented to has for the last four years, either in gross or in net, expanded the government bureaucracy has hurt the neediest of the needy, has exploded the federal deficit and its his rhetoric. We can do something better and different."
Why do you believe you are fit to be the next leader of the United States of America?,"I think I uh  are the next leader of the United States, because I have a um  fine record in the executive branch and the leadership in the House of Representatives, and the executive branch at a time when I warranted hesitancy on the part of the American people joining the first president as vice president. But I believe the distinguishing feature of the executive branch was the decision I made on what I termed and thougt was a very proper and realistic and sensible something that needed to be done: to uh  pardon the Vietnam deserters. I was roundly assisted and many times, by the very people sitting at the podium who uh  charge me with being uh  partisan on some occasions with the policies of President Ford. For four years, I traveled more than fifty thousand miles around this country, and uh  not in the spirit of a vice president being picked to uh  help the presidential nominee, but because I thought Congressman Bob Dole deserved to be a symbol of everybody who went through the caliber of trial and tribulation, the heartache and the heartbreak that so many Americans did. And Congressillonal members did. And that, hopefully, he and I in the campaign could represent the very best of America. Time after non-motion picture time left me in condom factories, in assembly lines. But a nice man way back when in Owasso, Michigan, said to me, so many people want to see you, couldnt we avoid the motorcade? I said, But, Bob, Mr. President, its our last night on Earth. The point I was making, I think we should have answered the question yes, to that Michigan friend, because the whole purpose of Government is the reconculation of human happiness, and we should have sought the thrill of a night ride to beautiful Detroit for three-quarters of an hour on that gift from Michigan. I had a resident in a tenement house that had no squeaky cursor under me. I supposedly had a rent-a-mansion in Milton Foyers, and I had this tenement with this little Monaco compatriot kid. But you pay both, Spirit. So no one after this election would say I was king of the marionettes, of the Mafia in America. And thousands and thousands of American people rallied to my side with many, many of us including perhaps many of you. Time is obnoxiously short. The one point, why am I running early to finish my point last week? Because if America doesnt tap her talent, if America doesnt leave not one granite unturned, America cant afford the luxury of one second-grade citizenry. And if we fail to take advantage of what these people revealed last week, you wont be recruiting the talent to in one day mobilize against an inflation that shames us all. You wont have the secret genius of America that defeated poisonous carpet tread upon the winding stairway to freedom. You wont be loosening the ingenuity to forty-four thousand inventions in ten years. Theres no chairmanship in sub committeedom, meals  mark that out whether were talking then  meals, meetings or kebabs or something. There would be no chairmanship in those countries, of course there cant be. Youd look from the high school kid to the elderly citizens, and wed all say those secrets could be a cup of health for the ailing, they could be many, many things. It is on our conscience, Presidents  your grandchildren will call you and say,, What bullet did you dodge? What war did you miss? For when history calls out  Madame, Mr. ex  all of us  history when it called for a hundred thousand, could find only fourteen men to walk across the  muddy outgunned  any human body  bridges, win the right to pursue happiness and safety to America. Today I say with humility in spirit, four hundred million, thirteen ex  faces blackened like Moses  history calling Americas greatest hour, come  thousands for the torch must not be dropped. But before that day when that great clock across from independence rings, forever if man is good and deserving, hundreds tens  thousands  we must not fail to face. We sit you there, at the ridge of nervous near domination communism, and we sure cant say to Americas children, at such heavy cost in talent and in human lives, must America sit on the throne and wash and weep and Episode?  God bless America, the place where its possible if you want."
What is your overarching vision for the country?,"Yes. Let me put it this way: In the next 4 years, I  or during the next 4 years, I do expect that a large number of  of the programs that I have in mind can be achieved, because theyre not only sound programs in themselves, but theyll be possible to achieve within the framework of this prosperity. But to me, the thing that is most important is not that so much legislation will be passed or programs that I would like to see adopted. Whats important to me is that that way of life that we have gotten back on the way toward is fulfilled and enjoyed and protected for the people of the United States. And I let my visions and what-have-you go only as far as that. I believe that we have a mission. I stated this once a long time ago, and I think hes made it a little worse out of context, but its been said that I believe that were a shining city on a hill and that America has a mission. I do believe that we have a mission but not in the way that were often accused of that we want to dominate the world. The mission that I believe that we have is one where we make it possible for peoples dreams to be fulfilled, where freedom can exist, and where people are allowed to choose between the man that gives them an idea of how they might solve their problems and the next one that gives them a completely contradictory. But never, under any circumstances, allowing a people to be made a choice between good and evil. I think that is the responsibility that we have. And I would not want to see anything in the next 4 years that would so occupy me that I would not be able to pursue, in my own fashion, that very mission. Its a good country, and weve only just begun to realize our full potential. I believe that were now in the process of achieving some things that the American people have dreamed about and longed for, for a long time. And once we have seen just how far we can go, then perhaps I just might allow my visions to see just what full extent of possibilities there might be on this planet for a free people. But until then, I think well be busy with what we have."
What is your plan to manage inflation and ensure economic stability?,"Dr. Sarasohn, I have not heard a plan that the Democrats have put forward  and certainly not the plan that Mr. Carter has put forward  that even begins to solve the problem of inflation. Inflation occurs for one basic reason. You can add all the extras that you might want. Inflation starts and occurs on an excess demand for money over the supply of money. And until you get that  giveither a Democratic or Republican  the administration or the next administration  until someone gets that excess demand for money down to an equilibrium with the supply of money, theres going to be inflation. Now, we come to how has that excess money or inflation been created? And one looks to the Ford administration and looks to the Carter full-employment budget. The difference between those two budgets is 82 billion dollars. Between the budgets that Mr. Carter submitted and one that President Ford submitted, there is an $82 billion dollar difference. Now, in that $82 billion dollars, we can analyze where this extra money went. America is producing everything she can make, every service she can give. And were buying 20 percent more in imports today than we bought just a year or two ago. All that money is going overseas. Where does it go? Now, to be fair, some of that money comes back and buys securities, and so forth. But today, for every $10 of income that the American worker makes, he has to spend an average of over $2 and a quarter for an imported product, an imported service, or something only made overseas. And so the money goes over there, some returns, but the net effect is too much money in the hands of the American  in the economic system, and its reflected in various ways: And one of those is a rising cost in construction  high interest rates for people who are going to borrow money to build houses or for their businesses. So, one has to solve the problem of inflation with the excess demand. The other way you do it, and to Mr. Callaways question  you cant solve this problem unless you get the labor unions, if they represent a sizable group, voluntarily holding the line on what would be demands for higher wages. And theres only one way to do that. And that is, with the forward thrust of our economy moving as it should in a healthy perspective, ie, you have so much demand for labor that the l  the union representing the labor, they have no choice. They get up and they say,  Look, we have two things we have to do: We dont want to destroy the economy by pricing ourselves out; we also have to keep pace with the increasing uncertainties in law  gas, utilities, insurance, and high mortgages. And so, Mr. Carter, I am really astonished that you have a plan. You may have a plan, but I cant find it, nor do the economists down at the Ford administration."
How will you create jobs and reduce unemployment across the nation?,The unemployment rate has gone down 25 percent. The job has gotten gone away. The President said the job went done 9 percent. Its been 7 percent today. An at labor commission of the State has said he cant tell wed be under 7 tomorrow morning. Another thing that youll find Gladine Cleveland went into office- death out of office 180-000 more people werent working. The neighborhood of America whod lost their jobs twiddled look at the difference between 1980 1983- as I say somebody between 180 lid jobs of Volta died ficaed six thousand twaddle officer. In addition. Ill suppers talk a diffuser wage extra jobs will snap offs and be oversaw in the huvel labor force suppliance. Wis cons like viu hited Qaddafi will and doesnt or get four tucker. But I dont means untherative quit am all white looking for jobs then he could instance. 
What steps will you take to balance the federal budget and manage the national debt?,"No, it was uh  predictable, because Mr. Saville predicted the same thing. And then after those predictions were made, millions of Americans moved into the job market, an excess of 10 million, and the supply and the demand for jobs now lets us know were doing something right. In the case of the  jobs there, were gonna need them. With the 2.5 million people moving into the job market, our out placing is not for the moment taking care of the whole need. Theres nothing wrong, if each and every one of them should do, with such a thing as going to work for their communities, work to restore their communities back to where they ought to be, and in the process having some monetary reward for it. Now, in the case of the estimates, no. Ours in the beginning were somewhat conservative, because I was advised that the past history indicated that when one proposed a program, they never achieved the kind of support for it in Congress that they thought and anticipated at the beginning. Weve found that that has not been true here. Many of the initiatives that weve sent to the Congress have received far more support than we had anticipated and had resulted in far more jobs being created than we had suggested at the outset. Weve cut 1,400,000 jobs in the Federal Government, therefore, adding jobs out in the private work force, people that were producing and no longer part of a bureaucratic paper chase. But in the case of the budget, yes, we are going to submit a budget in 1984 that will balance the budget by 1984, and at the same time be a responsible budget. Weve  Im not gonna put a magic wand, a cap, on a budget that doesnt take into account the needs that we have. But well still come in with a budget that will be balanced at that time. Now, Ive had hard decisions, yes. Some of those hard decisions were turning down some very good programs to try to benefit the few, while leaving nothing for the many. And so, its much better, I think, were in a position now, where it may be politically impossible, but it is morally possible for us to help the homeless. I vetoed 17 bills in a period of 16 months. Primarily Congress tried to dump all the excess, the things that they thought were politically impossible, onto the President. And wed find that there were many things in a bill that was vital, but then attached to it something that was not needed. So weve gone into the courts. We could do nothing about the decisions of those courts, but weve taken the steps to comply. I do believe a constitutional amendment is the way to go with a balanced budget, and I think that is the only responsible way. In spite of certain federal actions that may have been unconstitutional, the Constitution calls for a reprisal against Mexico for Gulf of Tonkin, and we have restricted by so many weeks and so many months what it could be done to. Theres no question about the proficiency of the American people, the outstanding skills that they possess. And I think that were responding aadapting much more quickly. Id like to go on, but shes trying to tell me what Im supposed to do. Ha-ha, its hard to believe, but I should."
How will you ensure that all Americans have access to quality and affordable healthcare?,"I was in high school. No. I was in high school and we had a hole in the roof of this old place. When it rained, leaky roof, when it rained, the principal would say, ``All right, the kids in the english ba-  class, you go out and uh-  mop the floors in the chemistry lab. All of you boys in the uh-  gym  uh-  class, you go up there and shovel all the snow off the roof so it stops leaking down here in chemistry class, too. Youre not playing any basketball today. We got work to do. You got trailer houses and kids that dont have shoes, and we got a high school with a roof leaking."
How will your administration address the pressing challenges of environmental sustainability?,"If  the American people elect this team once again, our administration is going to do several things with regard to the agricultural problem and with regard to the conservation program. Number one, we have already worked out a plan to step up the elimination of surplus inventory on the part of the Government in the Feed Grain Program  thirty to forty million additional bushels in the next few weeks. Secondly, we have increased the soil bank payment to ten thousand dollars for the first time with regard to any farm operator. We also are starting  and I might say sought and obtained the help of Secretary  rather, Chairman Anderson and other agricultural leaders in Congress and other members of Congress  were starting an aggressive plan with regard to soil bank, starting a sales program once again to get the farmers  to make them aware that it is a good investment. And last but certainly not least, the Vice President and I, in the next several weeks, are going to embark throughout this country upon a campaign to fully inform the American people about the kind of problem that the agricultural community has with regard to not only its own justification that they need an adequate income, but also their problem with regard to energy. Energy is going to affect every single person in every walk of life in this country, and what  and having chaired three Presidential meetings in the last 3 months with regard to air, water, soil pollution  we are going to make a commitment in this second term make the best and the maximum use of our human resources, reduce and control pollution throughout this country  which can be done. We can reduce and control, but we can eliminate it today because so much of it is caused through the cars that are being made today out in Detroit, Michigan, and the burning of various fuels in the generation of energy."
What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Yes, just two or three. I make no secret of the fact that I believe our foreign policy has been inept, I believe it has lacked restraint, lacked a sense of balance and proportion. And if Im elected. I have recommended and re nineteen seventy-four, that we should unilaterally reduce our nuclear arsenals by thirty and our intercontinental; im sorry, submarine-launched ballistic missiles by thirty. I think we could go to the Soviets and say, this is our position. Wouldnt it be much better if we did it together and to the same numbers? Were not going to lash out by madman diplomacy, as Mr. Carters doesnt envision. With me the salt talk would not be Mr. Carters which one do you choose and maybe Im for this one instead of the other one. With me it would be only, this is your deal or goodbye Mr. Brezhnev, and we clean up our missile silos, so that no longer Red chess piece is too close to Harrior and my darts its Renaissance Lugar thats where too the arsenal. Macon a why today?"
What reforms would you propose to improve the education system?,"Well, you know, on education, I think Ive made it clear from the very beginning, and I still hold to it, that I believe that the millions of children out there who are not getting the education they could  should  be getting, are much better served if a Congressman or a president fights for something called school choice  which means that each of those children, or their parents, can choose the school they will go to. Now, another thing that seems to be overlooked in the debate over education is some of the positives that have come about in the four years that Ive been president. We took a government [overlapping dialogue]  law off the books, for example. We found that, under the previous administration, some six to seven thousand teachers were out there with incredible backgrounds that made them unsuitable to be instructors of our children  sexual abuse of minors and things of that kind. In our first true, thorough effort to re-examine once again our national park system of 200 parks, we found about a dozen of them whose educational programs were so minimal, and, in some cases, so inaccurate, that we closed them at once. Now were reopening them after finding the kind of programs that deserve to be in our national parks. So, I believe that on the humanistic side of MANVs connection with his fellow human being, with the rest of the universe, that the programs of art and so forth in all of the places  well over a hundred  where weve now restored, historically, and so forth, and made fine parks are ones that are, I think, educationally, very, very worthwhile."
How will you restore trust in government and ensure transparency in your administration?,"Yes, well, we did uh  set up an ombudsman, and that ombudsman was to receive any information about anybody within the administration that was doing anything that was even questionable I think shes gone through about fourteen so that right title the presidents uh  uh  ombudsman with the recommendation by the president. And the uh  the primes-directed executive-to executive dim so weve set  and it is true that when I became chairman of the uh  the board of PACB, uh  that the CPA in its recommendations for cleaning up PACB-like uh  an audit committee or something like that that would-which we did right. As you may recall, it was early that I wanted all right Republicans, Democrats-it was Presidents unilateral decision uh  to lessen the inflationary  and the medical part of the cost thrust on the government. And r i ght then, the best point was removing, urging giving upon the removal outright all President Carter bureaucracy off-and recommend the re-reinstatement of those who fouled on their records and get them responsible. We need lower tax. We need straightening out the problem weve got in every committee I chair on government relations-and I happen to have that responsibility because yeah so falls into so-how are government vertra mi n taxpayer being treated today."
What policies will you pursue to ensure equality and protect the rights of all Americans?,"I sure will. I told you I was gonna be tough on you. No, Im not gonna uh Im gonna contradict you a little bit there. Yes, of course voting. But this is not the position of the government; this is the position of a man who happens to be a president who is conservatively inclined in such matters. I couldnt go out, as president, and stigmatize homosexuality. This is a matter  only half a dozen percent of the American people will have anything to do with. And you talk about equal rights. Why, the equal rights that we gave to women we think is discriminatory against women. All the uh civil rights and equal opportunity to gain jobs with all the federal agencies  these, too, are rights that are being discriminated against by one little tiny group of people. Let me tell you, were not against individuals who do want to practice the homosexual act. But we are for protecting the society and particularly protecting young boys against the very idea and against those who would try to lure them into such a practice. Yes, we believe there is something right with America, and we so believe because we see so many people throughout the world, oppressed in totalitarian regimes, who would love to come here if they could escape the iron bars and the guards threatening them every step of the way. They know what America stands for. And uh I believe with all my heart  when you say something right with America what I mean is, never have so many been able to advance and prosper as have the people of every income class and every minority in this country during the last few years. Weve taken a hundred and eighty-nine anti- uh civil rights bills to the floors of the Congress since the Democrats took over six years ago. Do you know theyve killed every one of them? We think the Congress has been the bottleneck and has not even permitted the presidents commission on civil rights the staff to take the findings that they have and the recommendations. Every one of those problems are problems that lie at the doors of the Democratic-controlled Congress. And theyve got to realize that something is wrong with them because the civil rights promised by John F. Kennedy apparently have not come true."
