Question,Model_Response
What policies will you pursue to ensure equality and protect the rights of all Americans?,"As I indicated earlier  and not switching the subject, but this will be applicable  our present civil rights laws and affirmative action programs have been applied extensively, and have resulted in fulfilling the hopes and ambitions of millions of minority Americans, and women, in the workplace and in education. I have seen almost miraculous,positive, hopeful, beautiful results from these two groups. As a matter of fact,between now and the year 2000, we anticipate that 80 percent of all the new jobs created will be going to women and minority persons. I think this is a good thing for our country. Now, if Governor Reagan is suggesting that we repeal the present civil rights laws, or repeal affirmative action, then we will go backward, not forward. I recall a statement made by a wealthy White businessman some months ago. He said, I dont want affirmative action  I want a fair chance. Well, Mr. Reagan and I and most wealthy people in this country had a fair chance, and weve made very good use of it. But that doesnt mean that all of our citizens, who are poor, or who are minorities, or who are women, should not have the same opportunity. I believe very strongly in that, and I have not seen any evidence that the present affirmative action programs have discriminated against White Americans, nor against well-off Americans."
How will you lead the country through challenges and unite Americans with differing perspectives?,"First of all, I never think of an election as a mandate by the American public. Thats why I would love to have a much broader constituency than just 51 percent of those  who voted. I would like to draw upon all of my constituent Americans. This country has within it so much strength, so much diversity, so much vitality. What I want to do is to bring together in a unified, harmonious coalition all of those fragmented pieces. Candidly, the reason why Im running is because I want to put this country back together again after the lost opportunity of the 1980s."
"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","Would the President like to add to the comments related to the people of the Soviet Union?  If not, Mr. Anthony, your question."
How will you ensure equal opportunities for marginalized communities in our country?,"Let me, let me make one comment about the handicap community, quickly: In my administration we are negotiating with the major airlines to correct the problem with them so that we can make our airports and our airline services available. This has been unaddressed for all of our history, and they say its three years away. We have been in a negotiation, among other things with them, and I can guarantee you, as president of the United States, it will be accomplished in my administration. Because I am absolutely committed to that. I might say, shortly there will be a wonderful TV special on the handicap community called The Incredible People; it will be going on shortly, and Im sure that it will not only make you see our handicapped community in perspective, which is so positive, but Im sure the enthusiasm will catch up on the airline industry. Now to get back to your question, and yours was a very complicated ones and perhaps I can do them both in my final answer. Ive mentioned the concept of a comprehensive, overall, uh antidiscrimination act, which I would absolutely interest myself personally in and work through a Congress that would cooperate. In each of the situations which youve mentioned, whether its jobs for minorities, whether its equal pay for comparable work, whether its in the situation of the women in the credit situation that I cited, in all of those instances there have been wonderful groups who have been honest in their attempts to deal fairly and equitably with the, in this instance, the discrimination, in the others, to correct the error. In each of those instances, it has been the leadership of the Republican administration that has vetoed the corrections and the remedies. The civil rights leadership, liberal leadership of this country has not only stuck together, but weve generally had some good responses from the Congress. I feel our administration can do more. Five of our Presidents have been Republicans in this century. In the ninety-seventh Congress, only thirty-eight civil rights laws were passed. In the twenty-six Congresses preceding the ninety-seventh Congress, with five Republican presidents, three hundred and forty-two civil rights laws passed. Civil rights legislation has normally originated with the executive branch. It has not done so, with this administration. We all remember the original appointment of high office positions in the executive branch wherein only one-third of the positions went to minorities or womens groups. That belatedly changed because the Republicans were ashamed, and it changed on account of the political pressure. That is not the best way to govern."
Why do you believe you are fit to be the next leader of the United States of America?,Well it might take a lot of time for me to answer that.
What is your overarching vision for the country?,Thats a uh  very difficult question for me in that Im not exactly sure how to encapsulate what I believe and uh  the best approach for this nation in just a few moments but let me uh  speak briefly in summary statement about my administration.  No.  I just have one short response.  Im not running against Mr. Ford. Im running for president.  Ive uh  used this opportunity to say what I believe.
What is your plan to manage inflation and ensure economic stability?,"Well, I think you said manage inflation, and thats probably the primary concern. Inflation today- when President Ford took office was over 12 percent; its now approximately 6 percent. Although, Im sure in the last period of time your own household has noticed a great spike as the results of OPEC. Were now working with OPEC to see if we can get a comparable kind of production from the North American nations, which President Ford has been subservient to OPEC instead of asserting American leadership among the American peoples and around the world. But this is the essence of it. As you continue to get increased productivity, sell more goods for the same amount of labor, you increase efficiency, you take away this major spurt in inflation; you also help create more jobs."
How will you create jobs and reduce unemployment across the nation?,"Well, first of all, in order to have an unemployment rate in the single digits cleanly and to have a full employment economy, we have to have a GNP growth of 5 percent or more for two years running. Speed of motor has created some jobs this time[music in the background] lets people go through the neighborhood, visit and talk with one another. The other thing that we have to do is to put together a program thats very attractive for modernizing businesses. Now President Ford has made an attempt to do that with his 10 percent investment tax credit. I believe his proposal in the last two weeks of 10 percent investment tax credit for new plants and equipment, plus a 40 percent manufacturing deduction, is a very good one. There was no jobs program in the Ford-Carter debate four years ago, and if Congress hadnt over-rode President Fords veto of this jobs program, 15 million jobs on a cumulative basis would not have been created. Now, in addition to this, a metropolitan security program, where distinct major cities will be supported with federal funding in order to modernize our railroad systems, rapid transit systems, parking lots, and things of this kind, I believe will also help to nourish a growing employment opportunity in the metropolitan area."
What steps will you take to balance the federal budget and manage the national debt?,"Well, lets get right back to those generalizations. The first call he made was 700 billion dollars in tax increases to balance this budget, and then he made a special call to cut Social Security. You know, Ive watched people play politics with the Social Security trust fund. If you want to talk about a real crisis in this country, its that the system is broke. And if you start taking that trust fund and using it to cover up the deficit, weve got a real crisis. Thats a promise to the American people that, Mr. President, you dont keep. And I Promise Ill never play politics with it. And when youve doubled the national debt in 4 years, weve got a whopper of a problem."
How will you ensure that all Americans have access to quality and affordable healthcare?,"John, if I provided a simple answer to that question, I think the American people would know that your question is actually far more complex and would require more than just that simple answer. But let me try to answer it. First, clearly weve gotta control costs. No question about it. Twenty-three percent of all our nations economy devoted to health care is an outrageous figure, and its gotta be brought down. Second, everything that Im aware of suggests that the HMO- managed care term is accurate. If its managed, if its efficient, if its human, thats fine. If its not, then its not. But if we can control the costs that way, we still can provide options for the American people. Third, we surely have gotta provide for those at the bottom. No question about that. Thats what the catastrophic bill of 1986 was all about, at least for middle-class families, so that the well-off and the already well- insured Americans would not be the only ones to benefit by it. Weve gotta have a means of controlling costs that is fair and just. Finally, Im absolutely determined that we do everything we can in getting the Federal Government to set an example. Yes, I will end the cross-subsidization between companies with union labor, where the employers are paying 70 percent of the health-care costs, and those companies without unions, where the employees are paying 70 percent of the costs. It distorts the total package agreed on between employer and employee, and its unfair to those workers without unions. Will I end Medicaid, or will I end Medicare? Absolutely not. They are two of the most successful programs created. But let me be very clear: The secret of reforming health care, the ultimate solution to bringing the enormous cost down that we now export overseas and cause inflation here, is to have universal coverage."
How will your administration address the pressing challenges of environmental sustainability?,Have you bothered to compute a little basic data on the United States? Our population is expected to grow from 240 million to 300 million. Were not talking 125 years when our population would need to stop. It will be doubling in less than 50 years. And this is what you call an environmentalist party? Thats a party wheres fascinated with the idea of sustainability. Everyone should learn the definition of sustainability. Were out talking in terms of environmental sustainability and theyre talking in terms of political sustainability.
What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Response to strength by entering arms control is a very responsible out and its one that I intend to continue to do that. Weve entered more countries into arms control, Soviet, China, Poland, Czechoslovakia Have we entered more countries into arms control. Weve entered the inertia so they were getting this hard work. And this is so terrifically dangerous.  You wont have. No arms control. Im not a isolationist and futurity. Im not a weak leader in future relations and our comparative defense and strength in my lifetime and nothing he can do and modern weaponry is so dangerous with the Soviet Union. I know what it done. We will compete. We will modern or what they do. How he knows all about the Soviet Union strength and purposes. Its my experience that you have shifted your camp fortresses and with strength are not an added security. You have to  with strength. And with your purposes. The more you show strength, the more they respect in my experience, Ive dealt with the Soviet purposes. I know emblems, Ive been every hundred nations. Its terribly, in swords."
What reforms would you propose to improve the education system?,"That would probably take a second debate, because I could go on for a long time on that. The  in one minute, let me say that  the first thing I would do is decentralize. Eighty-five percent of our school districts have fewer than 2500 kids in them. Theyre governed by their boards, not by the state or the federal government. And we ought to hold the boards accountable for excellence in education. Secondly, I would remove the federal government from education, as has been said before  and I would like to have a minute after this because I inherited 10 minutes that he inherited 1. But  and then give responsibility to the states. And third, I would give responsible, generous scholarships to all young people who need help going to college or university. I would not let those scholarship funds be hindered by government. My alternative is the maximum feasible private foundation in our country for the future, that will be an explorer of excellence in a dead-end field."
How will you restore trust in government and ensure transparency in your administration?,"Well, first, I think you have to have faith in the American people; give them the facts. When I became Governor in Georgia we had a terrible situation when Governor Carter went out of office. There were six lawsuits against the State, the State had just been in a court receivership because of the fact that the legislature had failed to pass a budget, there was absolutely no cooperation between the executive and the legislative branches of government, the financial affairs of the state had been mismanaged, and there was a feeling of uh, frustration uh, within the state government. What I did was just get the facts. As soon as I was sworn in I invited the leaders of both houses of the legislature, the news media, uh, the heads of the state uh, agencies, those that are responsible to the executive branch to my office. I laid out the facts. Uh, there was a feeling among the people, and not only among the leaders of the state government, that uh, we were uh, better off to work together than to uh, fight among ourselves. I think this is what  has to be done in the Oval Office. The problems facing our government are so great, and the solutions of those problems, uh, depend so much on approval of the American people  which usually is reflected in the Congress, the Senate, and House. And I think to be successful what the president should do is to invite the people to the table. Not just in highly publicized press conferences held uh, once a year, but an average family in the White House once a week, the transcripts made available the next morning, the network and radio briefers, uh, who summarize the news and give the lead stories. This will enable the America people to be more involved in government, will give the American people the facts that they deserve, and this way we can  I think be reunited  the Oval Office with respect to the executive branch and the American people."
What policies will you pursue to ensure equality and protect the rights of all Americans?,"Theres no question that affirmative action has been an important accomplishment of our society in the last two decades. Mrs. Weinberg, like many other officers in the Labor Department, is carrying out an affirmative action directive, which specifically says that woman who is pregnant cannot be denied continuance of her job or the right to be hired in the future. Theres no question that this directive and this policy is being enforced. It ought to be enforced. And Mrs. Weinberg was absolutely right not to use her personally employed secretaries to write a brief which supported the Mr. Weber, who was a white male, who brought the action to court. Theres no question, too, that Mr. Weber suffered personal hardship because of an unfortunate accident in his life. Mrs. Weinberg and others employ in the Labor Department a substantial number of women and a high percentage of women, among their executives. Affirmative action must go ahead, and will go ahead in my administration. Weve experienced a return to the good-old-boy network in this administration. Affirmative action for women has solid support by the Democratic Party and by me personally."
How will you lead the country through challenges and unite Americans with differing perspectives?,"It looks like we have a minute, thirty. Okay, I need to go. As was just indicated, when I was governor of Michigan, it was a very troublesome time. I had the Vietnam War, the Mmerican Indian Movement. I had a lot of mine wars in labor. My father died in 1962, the year I ran. I had no money. My state was broke and I had to borrow $220,000. Those three traits that I have: I learned how to listen because I had to; I had to learn how to make tough decisions, even though you knew you would never please everyone and that still goes on today mine; and finally I had to learn how to communicate because everything would be a code or something and I had to learn to speak clearly, honestly to the people. Thats what I did as governor. I think I did it well and Im certainly going to do it for this nation from here on out."
"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","Well, first all, I think that you have to speak very frankly about immigration. And that is, first, and without question, we must know who is in our country. And if you say were going to control immigration, we have to control illegal immigration. These are people who have gone through all the suffering, who are in this country, and we dont know whos here, and its dangerous. And so what I would do is, first all, Id enforce the law thats on the books. The law thats on the books says that if an employer knowingly hires someone whos an illegal, that employer does go to jail; that employer does pay a fine. And it is known, and therefore that would help control all this hiring of people. The second thing is this: The terrible backlog for those legals who now want to come into our country is terrible. I believe the ratio is four in the criminal, and the other is 140 years before the waiting lists are cleared up. Whatever work were doing in those countries, were not helping do this, so we have to make sure we work our embassies and we do some testing so that those people who want, who are angry that it takes so long to get here, that we can do a better job. And then were honest about our borders. We let the Border Patrol know, they know whos there. We let them know they need help. They cant do the job entirely by themselves. We allow our ports to be reasonably checked so that we know who comes in and who goes and our ships. And we have a basic amnesty bill to those people who have been here a long time, who have been working here. Theyve paid their taxes. They dont speak the language. Theyre not criminals. They have a way to legalize themselves. And that way we move ahead as a country and we can smile and be proud of all of us.
"
How will you ensure equal opportunities for marginalized communities in our country?,"In my administration  I have a  uh  record of bipartisan cooperation. I have worked all of my life not only with white Americans, but also with black Americans and brown Americans. And I have a proven record of having drafted and pushed through the Congress major civil rights laws that have kept the uh  out of the voting booth white and black, that have enabled black Americans to gain the right to public facilities where they had been locked out previously. Since I have been in the Congress and now in the White House, I have seen more black Americans elected to public office than in the history of this country; I have seen the biggest income rise among black Americans of any president in the history of this country, and thats true also among Hispanic Americans, and Indian Americans. Ive seen uh  black Americans gain more in enrollment in colleges and universities than in previous administrations. Every year since Ive been in office was a record year in employment for black Americans. Weve also worked closely with Puerto Rico. For instance, in the financial assistance  bills passed in 1981 and 1982, we saved Puerto Rico more than six billion dollars. Im a firm believer that you can promote a strong American spirit with a guaranteed opportunity for everyone, without special privilege for the few or without penalizing those who do well in life. I think that every American should have a chance in life to make his or her maximum contribution. When thats done, we all benefit. This is an ongoing effort. Our leadership is recognized by most Hispanic Americans, of course, and by most black Americans. And Im dedicated to giving them every possible opportunity in life thats uh  within the power of government."
Why do you believe you are fit to be the next leader of the United States of America?,"Because for more than 2l years, Ive been preparing for this job as governor Ive dealt with partisan gridlock, Ive done it with, among Democrats, a great diversity of opinion, I have worked with and for the people, I have learned how to solve problems standing up, facing the American public. Ive been trained, haft to say, by living for 17 years in an automobile. Ive been to every corner of Georgia, I know the American people personally, and I feel that I am ready for this job. Theres no experience I can gain in the next 5 weeks that will make me better qualified. Im of the age  Im 52 years old  Im of the background and training and experience that meets, I think, in a summary, the purpose of the founding fathers in giving us, in their estimation, the minimum qualifications for president. And I am a steward of this nation for the future. Theyve given me the opportunity to hold this position for my term and I hope to be re-elected. But what I do today will affect the generation of Americans in the year 2050, approximating the 300th anniversary of my nations birth. I am a steward now, holding this office in trust for the future, and with all of my background, experience, humane instincts, and having been trained for this job, I feel that Im competent, capable and committed to do whats right for my country."
