,actor,dialogue,date,Party,word_count
482,Bush,"Im really a Texan. But I got one house. And under the law, every taxpayer is allowed, when he sells a house, and buys another house, to get the rollover. Everybody, if it turns out, and I may hire, I notice she said she has a new good accountant. Id like to get his name and phone number because I think Ive paid too much in the way of taxes. And residence, Mr. Boyd, legal residence, for voting, is very different. And the domicile, they call that, very different, than the house. That they say youre living in the vice-presidents house. Therefore you dont get what every  Ive got problems  what every other taxpayer gets. I got problems with the IRS, but so do a lot of people out there. I think Ive paid too much. Nothing ethical. Id like to get some money back.",1984-10-11,Republican,145
486,Bush,"No, I think Ive said all I want to say. I do, I didnt fully address myself to Mr. Boyds question no disclosure, I led the fight, I think, in 1968, in the House  I was in the House of Representatives for a couple of terms  and I led the fight for disclosure. I believe in it. Before I went into this job, I disclosed everything we had. We didnt have any private corporations, but I disclosed absolutely everything. Arthur Andersen made out an assets and liabilities statement that I believe went further than any other one. And then, to protect the public interest, we went into this blind trust. I believe in the blind trust because I believe a public official in this kind of job ought not to know whether hes gonna benefit, directly or indirectly, by some holding he might have or something of that nature. And, no, I support full disclosure.",1984-10-11,Republican,155
489,Bush,"Terrorism is very, very difficult to slop. And I think everybody knows that. We had ambassadors killed in Sudan and the Lebanon some time ago, a long time ago. When you see the Israeli building in Lebanon after the death of our marines you see that, hit by terrorism, the Israelis, with all their experience fighting terrorism, you know its difficult. When you see Khomeini wraith his radical Islam resorting to government-sponsored terrorism, its very difficult. The intelligence business can do a good job, and Im always one that defends the Central Intelligence Agency. I believe we ought to strengthen it and I believe we still have the best foreign intelligence business in the world. But it is very difficult to get the source information that you need to go after something as shadowy as international terror. There was a difference between Iran and what happened in Lebanon. In Iran you had a government holding a U.S. embassy; the government sanctioning the takeover of that embassy by those students; the government negotiating with the United States government for their release. In Lebanon, in the terror that happened at the embassy, you have the government there, Mr. Gemayel, that wants to help fight against terrorism. But because of the melee in the Middle East, its there today and has been there yesterday and the day before, and everyone thats had experience in that area knows, it is a very different thing. So what weve got to do is use absolutely the best security possible. I dont think you can go assigning blame. The president, of course, is the best Ive ever seen at accepting that. Hes been wonderful about it in absolutely everything that happens. But I think fair-minded people that really understand international terror know that its very hard to guard against. And the answer then really lies in the Middle East and terrorism happening all over the world, is a solution to the Palestine question, the follow on to Camp David under the umbrella of the Reagan September of 1982 initiative. That will reduce terror, it wont eliminate it.",1984-10-11,Republican,350
491,Bush,"What weve done is to support Arab stores that want to stand up against international terror, quite different. We believe in supporting, without jeopardizing the security of Israel in any way, because they are our one strategic ally in the area, they are the one democracy in the area and our relations with them has never been better. But we do believe in reaching out to the, what they call the GCC, those Gulf Cooperative Council State, those moderate Arab states in that world, and helping them with defensive weapons to guard against international terror or radical Islam perpetuated by Khomeini. And because weve done that and because the Saudis chopped down a couple of those intruding airplanes a while back, I think we have helped keep the peace in the Persian Gulf.",1984-10-11,Republican,133
497,Bush,"Well, Im surprised. I think I just heard Mrs. Ferraro say that she would do away with all covert actions, and if so, that has very serious ramifications, as the intelligence community knows. This is serious business. And sometimes its quiet support for a friend, and so Ill leave that one there. But let me help you with the difference, Mrs. Ferraro, between Iran and the embassy in Lebanon. Iran  we were held by a foreign government. In Lebanon you had a wanton, terrorist action where the government opposed it. We went to Lebanon to give peace a chance, to stop the bombing of civilians in Beirut, to remove 13,000 terrorists from Lebanon  and we did. We saw the formation of a government of reconciliation and for somebody to suggest, as our two opponents have, that these men died in shame  they better not tell the parents of those young marines. They gave peace a chance. And our allies were with us  the British, the French, and the Italians.",1984-10-11,Republican,169
508,Bush,"I support what were doing. It was supported to the Congress and under the law. I support it. My only regret is that the aid for the contras, those people that are fighting, we call them freedom fighters. They want to see the democracy perfected in Nicaragua. Am I to understand from this assault on covert action that nowhere in the world would we do something that was considered just off base when Mrs. Ferraro said shes never support it? Would she never support it if the violation of human rights was so great and quiet support was necessary for freedom fighters? Yes, were for the contras. And let me tell you another fact about the controls. Everyone thats not for this, everyone who wants to let that Sandinista government prevail, just like that Castro did, all of that, the contras are not Somozistas. Less than 5 percent of the contras supported Somoza. These were people that wanted a revolution. These people that felt the revolution was betrayed. These are people that support human rights. Yes, we should support them.",1984-10-11,Republican,180
512,Bush,"Well, I would simply like to make the distinction again between those countries that are searching for democracy and the handful of countries that have totally violated human rights and are going the Marxist route. Ortega, the commandante who is head of the Nicaraguan Sandinistas, is an avowed Marxist. They dont believe in the church. They dont believe in free elections. They dont believe in all of the values that we believe in. So it is our policy to support the democracy there, and when you have freedom fighters that want to protect that revolution, and go the democratic route, we believe in giving them support. We are for democracy in the hemisphere. We are for negotiations. $3 out of every $4 that we sent down there has been for economic aid to support the peoples chance to eat and live and be happy and enjoy life. And one-fourth only was rnilitary. You wouldnt get that from listening to Mr. Mondale.",1984-10-11,Republican,161
515,Bush,"Yes, I can. The, you mentioned the Gromyko meeting, those were broken off under the Carter-Mondale days. There had been three separate Soviet leaders. Mr. Brezhnev, Mr. Andropov, and now Chernenko. During their, that, in three and a half years, three separate leaders. The Soviets have not been willing to talk. We are the ones that went to the table in INF. We had a good proposal, a moral proposal. Ban an entire generation of intermediate nuclear force weapons and if you wont do that, dont leave your allies in Europe in a monopoly position. The Soviets with 1,200 of these things, and the alliance with none. We didnt think thats the way to deter aggression and keep the peace. The president went, the first thing he did when he came into office was make a proposal on the most destabilizing weapons of all, START. And when the the strategic weapon and when the Soviets said, well, we dont like that proposal, we said all right, well be more flexible. I at the urging of the president went to Geneva and laid on the table a treaty to ban all chemical weapons. We dont want them to have a monopoly. We said look, lets come together. You come over here and see what were doing; well go over there and see what youre doing. But lets save the kids of this world from chemical weapons. A brilliant proposal to get rid of all of them. And the Soviets nyet, nyet nyet. In the mutual balance force reduction to reduce conventional forces, theyre not even willing to tell us the base. Mrs. Ferraro knows that, and how many troops they have. Theres four sessions. We have had an agreement with them on the hot line. But Carter-Monad made an agreement, the Salt II agreement, but the Democratic Senate, they were a Democratic administration, the Democratic Senate wouldnt even ratify that agreement. It was flawed, it was unverifiable and it was not good. Our president wants to reduce, not just to stop, he wants to reduce dramatically nuclear weapons. And when the Soviets know theyre going to have this strong president to deal with, and when this new administration, Mr. Chernenko, given more than a few months in office can solidify its position, then theyll talk. But if they think the opposition, before they sit down, are going to give up the MX, give up the B-l, go for a freeze that locks in inferiority in Europe, all of these things, unilaterally, before theyre willing to talk, they may just sweat it out for four more weeks. Who knows.",1984-10-11,Republican,437
517,Bush,"No, I dont think its winnable. I was quoted wrong, obviously, cause I never thought that. The Soviet planning, I did learn that when I was director of Central Intelligence, and I dont think thered be any disagreement, is based on that ugly concept. But I agree with the president: It should never be fought. Nuclear weapons should never be fought with, and thats our approach. So, therefore, lets encourage the Soviets to come to the table as we did at the Gromyko meeting. I wish everybody could have seen that one  the President, giving the facts to Gromyko in all of these nuclear meetings  excellent, right on top of that subject matter. And Ill bet you that Gromyko went back to the Soviet Union saying, Hey, listen, this president is calling the shots; wed better move. But do you know why I think well get an agreement? Because I think it is in the interest of the Soviet Union to make it, just as it is in the United States. Theyre not deterred by rhetoric. I listened to the rhetoric for two years at the United Nations. Ive lived in a Communist country. Its not rhetoric that decides agreements, its self-interest of those countries.",1984-10-11,Republican,205
521,Bush,"Well, I think theres quite a difference between Mr. Kyprianou in Cyprus and the leader of the free world, Ronald Reagan, in terms of meeting. And the Soviet Union  the Soviet Union, the Soviet Union will meet with a lot of different people. Weve been in very close touch with Mr. Mitterrand, Mr. Kohl, and others that have met with the leaders of the Soviet Union. But thats quite different than meeting with the president of the United States. The Soviets say well have a meeting when we think there can be progress and yet they left those talks. Id like to correct my opponent on the walk in the woods. It was the Soviet Union that was unwilling to discuss the walk in the woods. They were the ones that gunned it down first and the record is very, very clear on that. Miss Ferraro mentioned the inflexibility of our position on strategic arms. Yes, we offered first to get rid of all those  we tried to reduce the SS-18s and those weapons. But then we said if thats not good enough, there is flexibility, lets talk about the bombers and planes. So thats a very important point in terms of negotiation.",1984-10-11,Republican,203
537,Bush,"No, I think his strategy not only was correct but is correct. Youve got to go back where we were. Clearly, when we came into office, the American people recognized that we had slipped into positions of inferiority on various things. Some of our planes, as the president points out, were older than the pilots; ships that couldnt go out to sea. And you had a major problem with the military. Actually, the morale wasnt very good either. So we have had to strengthen the military and were well on the way to getting that job done. America is back in terms of military strength, in terms of our ability to deter aggression and keep the peace. At the same time, however, we have made proposals and proposals and proposals  sound proposals  on reducing nuclear weapons. The Strategic Arms Reduction Talks were good proposals, and its the Soviets who left the table. The Intermediate Nuclear Force Talks were sound talks, and I wish the Soviet Union had continued them. The chemical weapon treaty to ban all chemical weapons, it was our initiative, not the Soviets. And we wish they would think anew and move forward to verification so everybody would know whether the other side was keeping its word. But, much more important, youd reduce the level of terror. Similarly, were reducing  trying to talk to them, and are talking to them, in Vienna, about conventional force reduction. Weve talked to them about human rights. Ive met with Mr. Andropov and Mr. Chernenko, and we mention and we try to do something about the human rights question. The suppression of Soviet Jews is absolutely intolerable and so we have to keep pushing forward on the moral grounds as well as on the arms reduction ground. But it is my view that because this president has been strong, and because weve addressed the imbalances  and I think were very close to getting that job done  the Soviets are more likely to make a deal. The Soviets made an ABM treaty when they felt we were going to deploy an ABM system. So I am optimistic for the future, once they realize that they will have this strong, principled president to negotiate with, strong leadership, and yet with demonstrable flexibility on arms control.",1984-10-11,Republican,381
539,Bush,"I have none Id like to ask of her, but Id sure like to use the time to talk about the World Series or something of that nature. Let me put it this way  I dont have any questions, but we are so different from  the Reagan-Bush administration is so different from the Carter-Mondale [sic] administration that the American people are going to have the clearest choice. Its a question of going back to the failed ideas of the past, where we came in  21% percent on those interest rates, inflation, despair, malaise, no leadership, blaming the American people for failed leadership. Or another option  keep this recovery going until it benefits absolutely everybody. Peace at home  peace abroad  prosperity  opportunity. Id like to hear her talk on those things, but I think the yellow light is flashing and so well leave it there.",1984-10-11,Republican,144
545,Bush,"Well, in a couple of weeks, you, the American people, will be faced, three weeks, with a choice. Its the clearest choice in some fifty years. And the choice is, do we move forward with strength and with prosperity or do we go back to weakness, despair, disrespect. Ronald Reagan and I have put our trust in the American people. Weve moved some of the power away from Washington, D.C., and put it back with the people. Were pulling together. The neighborhoods are safer cause crime is going down. Your sons and daughters are doing better in school. Test scores are going up. Theres a new opportunity lying out there in the future. Science, technology and space offering opportunity that, to everybody, all the young ones coming up. And abroad theres new leadership and respect. And Ronald Reagan is clearly the strong leader of the free world. And Ill be honest with you. Its a joy to serve with a president who does not apologize for the United States of America. Mr. Mondale, on the other hand, has one idea. Go out and tax the American people. And then he wants to repeal indexing, to wipe out the one protection that those at the lowest end of the economic scale have protecting them against being rammed into higher and higher tax brackets. We just owe our country too much to go back to that kind of an approach. Id like to say something to the young people. I started a business. I know what it is to have a dream and have a job and work hard to employ others and really to participate in the American dream. Some of you out there are finishing high school or college and some of you are starting out in the working place. And we want for you Americas greatest gift. And that is opportunity. And then, peace. Yes, I did serve in combat. I was shot down when I was a young kid, scared to death. And all that did, saw friends die, but that heightened my convictions about peace. It is absolutely essential that we guarantee the young people that they will not know the agony of war. Americas gift, opportunity and peace. Now we do have some unfinished business. We must continue to go ahead. The world is too complex to go back to vacillation and weakness. Weve too much going on to go back to the failed policies of the past. The future is too bright not to give it our best shot. Together we can go forward and lift America up to meet her greatest dreams. Thank you very much.",1984-10-11,Republican,442
796,Mr. Reagan,"I dont know what the differences might be, because I dont know what Mr. Carters policies are. I do know what he has said about mine. And Im only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security. Now, I believe, also, that this meeting this mission, this responsibility for preserving the peace, which I believe is a responsibility peculiar to our country, and that we cannot shirk our responsibility as a leader of the free world because were the only ones that can do it. Therefore, the burden of maintaining the peace falls on us. And to maintain that peace requires strength. America has never gotten in a war because we were too strong. We can get into a war by letting events get out of hand, as they have in the last three and a half years under the foreign policies of this Administration of Mr. Carters, until were faced each time with a crisis. And good management in preserving the peace requires that we control the events and try to intercept before they become a crisis. I have seen four wars in my lifetime. Im a father of sons; I have a grandson. I dont ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",1980-10-28,Republican,267
799,Mr. Reagan,"Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford  along with the cuts that I have proposed in Government. spending  we can afford the tax cuts I have proposed and probably mainly because Mr. Carters economic policy has built into the next five years, and on beyond that, a tax increase that will be taking $86 billion more out of the peoples pockets than was taken this year. And my tax cut does not come close to eliminating that $86 billion increase. Im only reducing the amount of the increase. In other words, what Im talking about is not putting government back to getting less money than governments been getting, but simply cutting the increase in in spending.",1980-10-28,Republican,178
807,Mr. Reagan,"Well yes, I question the figure about the decline in defense spending under the two previous Administrations in the preceding eight years to this Administration. I would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace. I also would like to point out that Republican presidents in those years, faced with a Democratic majority in both houses of the Congress, found that their requests for defense budgets were very often cut. Now, Gerald Ford left a five-year projected plan for a military build-up to restore our defenses, and President Carters administration reduced that by 38%, cut 60 ships out of the Navy building program that had been proposed, and stopped the the B-l, delayed the cruise missile, stopped the production line for the Minuteman missile, stopped the Trident or delayed the Trident submarine, and now is planning a mobile military force that can be delivered to various spots in the world which does make me question his assaults on whether I am the one who is quick to look for use of force.",1980-10-28,Republican,197
817,Mr. Reagan,"Mr. Ellis, I think this idea that has been spawned here in our country that inflation somehow came upon us like a plague and therefore its uncontrollable and no one can do anything about it, is entirely spurious and its dangerous to say this to the people. When Mr. Carter became President, inflation was 4.8%, as you said. It had been cut in two by President Gerald Ford. It is now running at 12.7%. President Carter also has spoken of the new jobs created. Well, we always, with the normal growth in our country and increase in population, increase the number of jobs. But that cant hide the fact that there are eight million men and women out of work in America today, and two million of those lost their jobs in just the last few months. Mr. Carter had also promised that he would not use unemployment as a tool to fight against inflation. And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%. Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less. We dont have inflation because the people are living too well. We have inflation because the Government is living too well. And the last statement, just a few days ago, was a speech to the effect that we have inflation because Government revenues have not kept pace with Government spending. I see my time is running out here. Ill have to get this out very fast. Yes, you can lick inflation by increasing productivity and by decreasing the cost of government to the place that we have balanced budgets, and are no longer grinding out printing press money, flooding the market with it because the Government is spending more than it takes in. And my economic plan calls for that. The Presidents economic plan calls for increasing the taxes to the point that we finally take so much money away from the people that we can balance the budget in that way. But we will have a very poor nation and a very unsound economy if we follow that path.",1980-10-28,Republican,421
820,Mr. Reagan,"Well. most people, when they think about cutting Government spending, they think in terms of eliminating necessary programs or wiping out something, some service that Government is supposed to perform. I believe that there is enough extravagance and fat in government. As a matter of fact, one of the secretaries of HEW under Mr. Carter testified that he thought there was $7 billion worth of fraud and waste in welfare and in the medical programs associated with it. Weve had the Central Accounting. Office estimate that there is probably tens of billions of dollars that is lost in fraud alone, and they have added that waste adds even more to that. We have a program for a gradual reduction of Government spending based on these theories, and I have a task force now that has been working on where those cuts could be made. Im confident that it can be done and that it will reduce inflation because I did it in California. And inflation went down below the national average in California when we returned the money to the people and reduced Government spending.",1980-10-28,Republican,185
826,Mr. Reagan,"Yes. The figures that the President has just used about California is a distortion of the situation there, because while I was Governor of California, our spending in California increased less per capita than the spending in Georgia while Mr. Carter was Governor of Georgia in the same four years. The size of government increased only one-sixth in California of what it increased in proportion to the population in Georgia. And the idea that my tax-cut proposal is inflationary: I would like to ask the President why is it inflationary to let the people keep more of their money and spend it the way that they like, and it isnt inflationary to let him take that money and spend it the way he wants?",1980-10-28,Republican,124
828,Mr. Reagan,"I have been talking to a number of Congressmen who have much the same idea that I have, and that is that in the inner city areas, that in cooperation with the local government and the national Government, and using tax incentives and with cooperating with the private sector, that we have development zones. Let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area. And then, through tax incentives, induce the creation of businesses providing jobs and so forth in those areas. The elements of government through these tax incentives For example, a business that would not have, for a period of time, an increase in the property tax reflecting its development of the unused property that it was making wouldnt be any loss to the city because the city isnt getting any tax from that now. And there would simply be a delay, and on the other hand, many of the people who would then be given jobs are presently wards of the Government and it wouldnt hurt to give them a tax incentive, because they that wouldnt be costing Government anything either. I think there are things to do in this regard. I stood in the South Bronx on the exact spot that President Carter stood on in 1977. You have to see it to believe it. It looks like a bombed-out city  great, gaunt skeletons of buildings. Windows smashed out, painted on one of them Unkept promises; on another, Despair. And this was the spot at which President Carter had promised that he was going to bring in a vast program to rebuild this department. There are whole or this area there are whole blocks of land that are left bare, just bulldozed down flat. And nothing has been done, and they are now charging to take tourists there to see this terrible desolation. I talked to a man just briefly there who asked me one simple question: Do I have reason to hope that I can someday take care of my family again? Nothing has been done.",1980-10-28,Republican,359
831,Mr. Reagan,"I believe in it. I am eternally optimistic, and I happen to believe that weve made great progress from the days when I was young and when this country didnt even know it had a racial problem. I know those things can grow out of despair in an inner city, when theres hopelessness at home, lack of work, and so forth. But I believe that all of us together, and I believe the Presidency is what Teddy Roosevelt said it was. Its a bully pulpit. And I think that something can be done from there, because a goal for all of us should be that one day, things will be done neither because of nor in spite of any of the differences between us  ethnic differences or racial differences, whatever they may be  that we will have total equal opportunity for all people. And I would do everything I could in my power to bring that about.",1980-10-28,Republican,157
839,Mr. Reagan,"Yes. The President talks of Government programs, and they have their place. But as governor, when I was at that end of the line and receiving some of these grants for Government programs, I saw that so many of them were dead-end. They were public employment that these people who really want to get out into the private job market where there are jobs with a future. Now, the President spoke a moment ago about that I was against the minimum wage. I wish he could have been with me when I sat with a group of teenagers who were black, and who were telling me about their unemployment problems, and that it was the minimum wage that had done away with the jobs that they once could get. And indeed, every time it has increased you will find there is an increase in minority unemployment among young people. And therefore, I have been in favor of a separate minimum for them. With regard to the great progress that has been made with this Government spending, the rate of black unemployment in Detroit, Michigan, is 56%.",1980-10-28,Republican,186
850,Mr. Reagan,"Barbara, youve asked that question twice. I think you ought to have at least one answer to it. I have been accused lately of having a secret plan with regard to the hostages. Now, this comes from an answer that Ive made at least 50 times during this campaign to the press, when I am asked have you any ideas of what you would do if you were there? And I said, well, yes. And I think that anyone thats seeking this position, as well as other people, probably, have thought to themselves, what about this, what about that? These are just ideas of what I would think of if I were in that position and had access to the information, and which I would know all the options that were open to me. I have never answered the question, however; second, the one that says, well, tell me, what are some of those ideas? First of all, I would be fearful that I might say something that was presently under way or in negotiations, and thus expose it and endanger the hostages, and sometimes, I think some of my ideas might require quiet diplomacy where you dont say in advance, or say to anyone, what it is youre thinking of doing. Your question is difficult to answer, because, in the situation right now, no one wants to say anything that would inadvertently delay, in any way, the return of those hostages if there if there is a chance that theyre coming home soon, or that might cause them harm. What I do think should be done, once they are safely here with their families, and that tragedy is over  weve endured this humiliation for just lacking one week of a year now  then, I think, it is time for us to have a complete investigation as to the diplomatic efforts that were made in the beginning, why they have been there so long, and when they came home, what did we have to do in order to bring that about  what arrangements were made? And I would suggest that Congress should hold such an investigation. In the meantime, Im going to continue praying that theyll carne home.",1980-10-28,Republican,368
