actor,dialogue,date,Party
Mr. Cater,"Senator Kennedy, last week you said that before we should hold another summit conference, that it was important that the United States build its strength. Modern weapons take quite a long time to build. What sort of prolonged period do you envisage before there can be a summit conference? And do you think that there can be any new initiatives on the grounds of nuclear disarmament uh  nuclear control or weapons control d- uh  during this period?",1960-10-13,Moderator
Mr. Kennedy,"Well I think we should st- strengthen our conventional forces, and we should attempt in January, February, and March of next year to increase the airlift capacity of our conventional forces. Then I believe that we should move full time on our missile production, particularly on Minuteman and on Polaris. It may be a long period, but we must  we must get started immediately. Now on the question of disarmament, particularly nuclear disarmament, I must say that I feel that another effort should be made by a new Administration in January of 1961, to renew negotiations with the Soviet Union and see whether its possible to come to some conclusion which will lessen the chances of contamination of the atmosphere, and also lessen the chances that other powers will begin to possess a nuclear capacity. There are indications, because of new inventions, that ten, fifteen, or twenty nations will have a nuclear capacity  including Red China  by the end of the presidential office in 1964. This is extremely serious. There have been many wars in the history of mankind. And to take a chance uh  now be  and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake. One of my disagreements with the present Administration has been that I dont feel a real effort has been made an this very sensitive subject, not only of nuclear controls, but also of general disarmament. Less than a hundred people have been working throughout the entire federal government on this subject, and I believe its been reflected in our success and failures at Geneva. Now, we may not succeed. The Soviet Union may not agree to an inspection system. We may be able to get satisfactory assurances. It may be necessary for us to begin testing again. But I hope the next Administration  and if I have anything to do with it, the next Administration will  make one last great effort to provide for control of nuclear testing, control of nuclear weapons, if possible, control of outer space, free from weapons, and also to begin again the subject of general disarmament levels. These must be done. If we cannot succeed, then we must strengthen ourselves. But I would make the effort because I think the fate not only of our own civilization, but I think the fate of world and the future of the human race is involved in preventing a nuclear war.",1960-10-13,Democrat
Mr. Shadel,"Mr. Vice President, your comment?",1960-10-13,Moderator
Mr. Nixon,"Yes. I am going to make a major speech on this whole subject next week before the next debate, and I will have an opportunity then to answer any other questions that may arise with regard to my position on it. There isnt any question but that we must move forward in every possible way to reduce the danger of war; to move toward controlled disarmament; to control tests; but also lets have in mind this: when Senator Kennedy suggests that we havent been making an effort, he simply doesnt know what hes talking about. It isnt a question of the number of people who are working in an Administration. Its a question of who they are. This has been one of the highest level operations in the whole State Department right under the President himself. We have gone certainly the extra mile and then some in making offers to the Soviet Union on control of tests, on disarmament, and in every other way. And I just want to make one thing very clear. Yes, we should make a great effort. But under no circumstances must the United States ever make an agreement based on trust. There must be an absolute guarantee. Now, just a comment on Senator Kennedys last answer. He forgets that in this same debate on the Formosa resolution, which he said he voted for  which he did  that he voted against an amendment, or was recorded against an amendment  and on this particular  or for an amendment, I should say  which passed the Senate overwhelmingly, seventy to twelve. And that amendment put the Senate of the United States on record with a majority of the Senators own party voting for it, as well as the majority of Republicans  put them on record  against the very position that the Senator takes now of surrendering, of indicating in advance, that the United States will not defend the offshore islands.",1960-10-13,Republican
Mr. Shadel,The next question is by Mr. Drummond for Vice President Nixon.,1960-10-13,Moderator
Mr. Drummond,"Mr. Nixon, I would like to ask eh  one more aspect or raise another aspect of this same question. Uh  it is my understanding that President Eisenhower never advocated that Quemoy and Matsu should be defended under all circumstances as a matter of principle. I heard Secretary Dulles at a press conference in fifty-eight say that he thought that it was a mistake for Chiang Kai-shek to deploy troops to these islands. I would like to ask what has led you to take what appears to be a different position on this subject.",1960-10-13,Moderator
Mr. Nixon,"Well Mr. Drummond, first of all, referring to Secretary Dulles press conference, I think if you read it all  and I know that you have  you will find that Secretary Dulles also indicated in that press conference that when the troops were withdrawn from Quemoy, that the implication was certainly of everything that he said, that Quemoy could better be defended. There were too many infantrymen there, not enough heavy artillery; and certainly I dont think there was any implication in Secretary Dulles statement that Quemoy and Matsu should not be defended in the event that they were attacked, and that attack was a preliminary to an attack on Formosa. Now as far as President Eisenhower is concerned, I have often heard him discuss this question. As I uh  related a moment ago, the President has always indicated that we must not make the mistake in dealing with the dictator of indicating that we are going to make a concession at the point of a gun. Whenever you do that, inevitably the dictator is encouraged to try it again. So first it will be Quemoy and Matsu, next it may be Formosa. What do we do then? My point is this: that once you do this  follow this course of action  of indicating that you are not going to defend a particular area, the inevitable result is that it encourages a man who is determined to conquer the world to press you to the point of no return. And that means war. We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again. That is why I think the Senate was right, including a majority of the Democrats, a majority of the Republicans, when they rejected Senator Kennedys position in 1955. And incidentally, Senator Johnson was among those who rejected that position  voted with the seventy against the twelve. The Senate was right because they knew the lesson of history. And may I say, too, that I would trust that Senator Kennedy would change his position on this  change it; because as long as he as a major presidential candidate continues to suggest that we are going to turn over these islands, he is only encouraging the aggressors  the Chinese Communist and the Soviet aggressors  to press the United States, to press us to the point where war would be inevitable. The road to war is always paved with good intentions. And in this instance the good intentions, of course, are a desire for peace. But certainly were not going to have peace by giving in and indicating in advance that we are not going to defend what has become a symbol of freedom.",1960-10-13,Republican
Mr. Shadel,Senator Kennedy.,1960-10-13,Moderator
Mr. Kennedy,"I dont think its possible for Mr. Nixon to state the record in distortion of the facts with more precision than he just did. In 1955, Mr. Dulles at a press conference said: The treaty that we have with the Republic of China excludes Quemoy and Matsu from the treaty area. That was done with much thought and deliberation. Therefore that treaty does not commit the United States to defend anything except Formosa and the Pescadores, and to deal with acts against that treaty area. I completely sustained the treaty. I voted for it. I would take any action necessary to defend the treaty, Formosa, and the Pescadores Island. What were now talking about is the Vice Presidents determination to guarantee Quemoy and Matsu, which are four and five miles off the coast of Red China, which are not within the treaty area. I do not suggest that Chiang Kai-shek  and this Administration has been attempting since 1955 to persuade Chiang Kai-shek to lessen his troop commitments. Uh  He sent a mission  the President  in 1955 of Mr. uh  Robertson and Admiral Radford. General Twining said they were still doing it in 1959. General Ridgway said  who was Chief of Staff: To go to war for Quemoy and Matsu to me would seem an unwarranted and tragic course to take. To me that concept is completely repugnant. So I stand with them. I stand with the Secretary of State, Mr. Herter, who said these islands were indefensible. I believe that we should meet our commitments, and if the Chinese Communists attack the Pescadores and Formosa, they know that it will mean a war. I would not ho- hand over these islands under any point of gun. But I merely say that the treaty is quite precise and I sustain the treaty. Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when hes never really protested the Communists seizing Cuba, ninety miles off the coast of the United States.",1960-10-13,Democrat
Mr. Shadel,Mr. Von Fremd has a question for Senator Kennedy.,1960-10-13,Moderator
Mr. Von Fremd,"Senator Kennedy, Id like to uh  shift the conversation, if I may, to a domestic uh  political argument. The chairman of the Republican National Committee, Senator Thruston Morton, declared earlier this week that you owed Vice President Nixon and the Republican party a public apology for some strong charges made by former President Harry Truman, who bluntly suggested where the Vice President and the Republican party could go. Do you feel that you owe the Vice President an apology?",1960-10-13,Moderator
Mr. Kennedy,"Well, I must say that uh  Mr. Truman has uh  his methods of expressing things; hes been in politics for fifty years; hes been president of the United States. They may  are not my style. But I really dont think theres anything that I could say to President Truman thats going to cause him, at the age of seventy-six, to change his particular speaking manner. Perhaps Mrs. Truman can, but I dont think I can. Ill just have to tell Mr. Morton that. If youd pass that message on to him.",1960-10-13,Democrat
Mr. Shadel,"Any comment, Mr. Vice President?",1960-10-13,Moderator
Mr. Nixon,"Yes, I think so. Of course, both er  Senator Kennedy and I have felt Mr. Trumans ire; and uh  consequently, I think he can speak with some feeling on this subject. I just do want to say one thing, however. We all have tempers; I have one; Im sure Senator Kennedy has one. But when a mans president of the United States, or a former president, he has an obligation not to lose his temper in public. One thing Ive noted as Ive traveled around the country are the tremendous number of children who come out to see the presidential candidates. I see mothers holding their babies up, so that they can see a man who might be president of the United States. I know Senator Kennedy sees them, too. It makes you realize that whoever is president is going to be a man that all the children of America will either look up to, or will look down to. And I can only say that Im very proud that President Eisenhower restored dignity and decency and, frankly, good language to the conduct of the presidency of the United States. And I only hope that, should I win this election, that I could approach President Eisenhower in maintaining the dignity of the office; in seeing to it that whenever any mother or father talks to his child, he can look at the man in the White House and, whatever he may think of his policies, he will say: Well, there is a man who maintains the kind of standards personally that I would want my child to follow.",1960-10-13,Republican
Mr. Shadel,Mr. Caters question is for Vice President Nixon.,1960-10-13,Moderator
Mr. Cater,"Mr. Vice President, Id like to return just once more, if I may, to this area of dealing with the Communists. Critics have claimed that on at least three occasions in recent years  on the sending of American troops to Indochina in 1954, on the matter of continuing the U-2 flights uh  in May, and then on this definition of the  of our commitment to the offshore island  that you have overstated the Administration position, that you have taken a more bellicose position than President Eisenhower. Just two days ago you said that you called on uh  Senator Kennedy to serve notice to Communist aggressors around the world that were not going to retreat one inch more any place, where as we did retreat from the Tachen Islands, or at least Chiang Kai-shek did. Would you say this was a valid criticism of your statement of foreign policy?",1960-10-13,Moderator
Mr. Nixon,"Well, Mr. Cater, of course its a criticism that uh  is being made. Uh  I obviously dont think its valid. I have supported the Administrations position and I think that that position has been correct; I think my position has been correct. As far as Indochina was concerned, I stated over and over again that it was essential during that period that the United States make it clear that we would not tolerate Indochina falling under Communist domination. Now, as a result of our taking the strong stand that we did, the civil war there was ended; and today, at least in the south of Indochina, the Communists have moved out and we do have a strong, free bastion there. Now, looking to the U-2 flights, I would like to point out that I have been supporting the Presidents position throughout. I think the President was correct in ordering these flights. I think the President was correct, certainly, in his decision to continue the flights while the conference was going on. I noted, for example, in reading a  uh  a  a particular discussion that Senator Kennedy had with Dave Garroway shortly after the uh  his statement about regrets, that uh  he made the statement that he felt that these particular flights uh  were ones that shouldnt have occurred right at that time, and the indication was how would Mr. Khrushchev had felt if we had uh  had a flight over the uni- how would we have felt if Mr. Khrushchev ha  uh  had a flight over the United States while uh  he was visiting here. And the answer, of course, is that Communist espionage goes on all the time. The answer is that the United States cant afford to have a es- an es  a espionage lack or should we s- uh  lag  or should I say uh  an intelligence lag  any more than we can afford to have a missile lag. Now, referring to your question with regard to Quemoy and Matsu. What I object to here is the constant reference to surrendering these islands. Senator Kennedy quotes the record, which he read from a moment ago, but what he forgets to point out is that the key vote  a uh  vote which Ive referred to several times  where he was in the minority was one which rejected his position. Now, why did they reject it? For the very reason that those Senators knew, as the President of the United States knew, that you should not indicate to the Communists in advance that youre going to surrender an area thats free. Why? Because they know as Senator Kennedy will have to know that if you do that you encourage them to more aggression.",1960-10-13,Republican
Mr. Shadel,Senator Kennedy?,1960-10-13,Moderator
Mr. Kennedy,"Well number one on Indochina, Mr. Nixon talked in  before the newspaper editors in the spring of 1954 about putting, and I quote him, American boys into Indochina. The reason Indochina was preserved was the result of the Geneva Conference which Indochina. Number two, on the question of the U-2 flights. I thought the. U-2 flight in May just before the conference was a mistake in timing because of the hazards involved, if the summit conference had any hope for success. I never criticized the U-2 flights in general, however. I never suggested espionage should stop. It still goes on, I would assume, on both sides. Number three, the Vice President  on May fifteenth after the U-2 flight  indicated that the flights were going on, even though the Administration and the President had canceled the flights on May twelfth. Number three, the pre  Vice President suggests that we should keep the Communists in doubt about whether we would fight on Quemoy and Matsu. Thats not the position hes taking. Hes indicating that we should fight for these islands come what may because they are, in his words, in the area of freedom. He didnt take that position on Tibet. He didnt take that position on Budapest. He doesnt take that position that Ive seen so far in Laos. Guinea and Ghana have both moved within the Soviet sphere of influence in foreign policy; so has Cuba. I merely say that the United States should meet its commitments to Que- to uh  Formosa and the Pescadores. But as Admiral Yarnell has said, and hes been supported by most military authority, these islands that were now talking about are not worth the bones of a single American soldier; and I know how difficult it is to sustain troops close to the shore under artillery bombardment. And therefore, I think, we should make it very clear the disagreement between Mr. Nixon and myself. Hes extending the Administrations commitment.",1960-10-13,Democrat
Mr. Shadel,Mr. Drummonds question is for Senator Kennedy.,1960-10-13,Moderator
Mr. Drummond,"Uh  Mr. Kennedy, Representative Adam Clayton Powell, in the course of his speaking tour in your behalf, is saying, and I quote: The Ku Klux Klan is riding again in this campaign. If it doesnt stop, all bigots will vote for Nixon and all right-thinking Christians and Jews will vote for Kennedy rather than be found in the ranks of the Klan-minded. End quotation. Governor Michael DiSalle is saying much the same thing. What I would like to ask, Senator Kennedy, is what is the purpose of this sort of thing and how do you feel about it?",1960-10-13,Moderator
Mr. Kennedy,"Well the que- the  Mr. Griffin, I believe, who is the head of the Klan, who lives in Tampa, Florida, indicated a  in a statement, I think, two or three weeks ago that he was not going to vote for me, and that he was going to vote for Mr. Nixon. I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan. Thats absurd. I dont suggest that, I dont support it. I would disagree with it. Mr. Nixon knows very well that in this  in this whole matter thats been involved with the so-called religious discussion in this campaign, Ive never suggested, even by the vaguest implication, that he did anything but disapprove it. And thats my view now. I disapprove of the issue. I do not suggest that Mr. Nixon does in any way.",1960-10-13,Democrat
Mr. Shadel,Mr. Vice President.,1960-10-13,Moderator
Mr. Nixon,"Well I welcome this opportunity to join Senator Kennedy completely on that statement and to say before this largest television audience in history something that I have been saying in the past and want to  will always say in the future. On our last television debate, I pointed out that it was my position that Americans must choose the best man that either party could produce. We cant settle for anything but the best. And that means, of course, the best man that this nation can produce. And that means that we cant have any test of religion. We cant have any test of race. It must be a test of a man. Also as far as religion is concerned. I have seen Communism abroad. I see what it does. Communism is the enemy of all religions; and we who do believe in God must join together. We must not be divided on this issue. The worst thing that I can think can happen in this campaign would be for it to be decided on religious issues. I obviously repudiate the Klan; I repudiate anybody who uses the religious issue; I will not tolerate it, I have ordered all of my people to have nothing to do with it and I say  say to this great audience, whoever may be listening, remember, if you believe in America, if you want America to set the right example to the world, that we cannot have religious or racial prejudice. We cannot have it in our hearts. But we certainly cannot have it in a presidential campaign.",1960-10-13,Republican
Mr. Shadel,Mr. McGee has a question for Vice President Nixon.,1960-10-13,Moderator
Mr. Mcgee,"Mr. Vice President, some of your early campaign literature said you were making a study to see if new laws were needed to protect the public against excessive use of power by labor unions. Have you decided whether such new laws are needed, and, if so, what would they do?",1960-10-13,Moderator
Mr. Nixon,"Mr. McGee, I am planning a speech on that subject next week. Uh  Also, so that we can get the uh  opportunity for the questioners to question me, it will be before the next television debate. Uh  I will say simply, in advance of it, that I believe that in this area, the laws which should be passed uh  as far as the big national emergency strikes are concerned, are ones that will give the president more weapons with which to deal with those strikes. Now, I have a basic disagreement with Senator Kennedy, though, on this point. He has taken the position, when he first indicated in October of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike. I understand in his last speech before the Steelworkers Union, that he changed that position and indicated that he felt that government seizure might be the best way to stop a strike which could not be settled by collective bargaining. I do not believe we should have either compulsory arbitration or seizure. I think the moment that you give to the union, on the one side, and to management, on the other side, the escape hatch of eventually going to government to get it settled, that most of these great strikes will end up being settled by government, and that will be a  be in the end, in my opinion, wage control; it would mean price control  all the things that we do not want. I do believe, however, that we can give to the president of the United States powers, in addition to what he presently has in the fact finding area, which would enable him to be more effective than we have been in handling these strikes. One last point I should make. The record in handling them has been very good during this Administration. We have had less man-hours lost by strikes in these last seven years than we had in the previous seven years, by a great deal. And I only want to say that however good the record is, its got to be better. Because in this critical year  period of the sixties weve got to move forward, all Americans must move forward together, and we have to get the greatest cooperation possible between labor and management. We cannot afford stoppages of massive effect on the economy when were in the terrible competition were in with the Soviets.",1960-10-13,Republican
Mr. Shadel,"Senator, your comment.",1960-10-13,Moderator
Mr. Kennedy,"Well, I always have difficulty recognizing my positions when theyre stated by the Vice President. I never suggested that compulsory arbitration was the solution for national emergency disputes. Im opposed to that, was opposed to it in October, 1958. I have suggested that the president should be given other weapons to protect the national interest in case of national emergency strikes beyond the injunction provision of the Taft-Hartley Act. I dont know what other weapons the Vice President is talking about. Im talking about giving him four or five tools  not only the fact-finding committee that he now has under the injunction provision, not only the injunction, but also the power of the fact-finding commission to make recommendations  recommendations which would not be binding, but nevertheless would have great force of public opinion behind them. One of the additional powers that I would suggest would be seizure. There might be others. By the president having five powers  four or five powers  and he only has very limited powers today, neither the company nor the union would be sure which power would be used; and therefore, there would be a greater incentive on both sides to reach an agreement themselves without taking it to the government. The difficulty now is the presidents course is quite limited. He can set up a fact-finding committee. The fact-finding committees powers are limited. He can provide an injunction if theres a national emergency for eighty days, then the strike can go on; and there are no other powers or actions that the president could take unless he went to the Congress. This is a difficult and sensitive matter. But to state my view precisely, the president should have a variety of things he could do. He could leave the parties in doubt as to which one he would use; and therefore there would be incentive, instead of as now  the steel companies were ready to take the strike because they felt the injunction of eighty days would break the union, which didnt happen.",1960-10-13,Democrat
Mr. Shadel,The next question is by Mr. Cater for Senator Kennedy.,1960-10-13,Moderator
Mr. Cater,"Uh  Mr. Kennedy, uh  Senator  uh  Vice President Nixon says that he has costed the two party platforms and that yours would run at least ten billion dollars a year more than his. You have denied his figures. He has called on you to supply your figures. Would you do that?",1960-10-13,Moderator
Mr. Kennedy,"Yes, I have stated in both uh  debates and state again that I believe in a balanced budget and have supported that concept during my fourteen years in the Congress. The only two times when an unbalanced budget is warranted would be during a serious recession  and we had that in fifty-eight in an unbalanced budget of twelve billion dollars  or a national emergency where there should be large expenditures for national defense, which we had in World War II and uh  during part of the Korean War. On the question of the cost of our budget, I have stated that its my best judgment that our agricultural program will cost a billion and a half, possibly two billion dollars less than the present agricultural program. My judgment is that the program the Vice President put forward, which is an extension of Mr. Bensons program, will cost a billion dollars more than the present program, which costs about six billion dollars a year, the most expensive in history. Weve spent more money on agriculture in the last eight years than the hundred years of the Agricultural Department before that. Secondly, I believe that the high interest-rate policy that this Administration has followed has added about three billion dollars a year to interest on the debt  merely funding the debt  which is a burden an the taxpayers. I would hope, under a different monetary policy, that it would be possible to reduce that interest-rate burden, at least a billion dollars. Third, I think its possible to gain a seven hundred million to a billion dollars through tax changes which I believe would close up loof- loopholes on dividend withholding, on expense accounts. Fourthly, I have suggested that the medical care for the aged  and the bill which the Congress now has passed and the President signed if fully implemented would cost a billion dollars on the Treasury  out of Treasury funds and a billion dollars by the states  the proposal that I have put forward and which many of the members of my party support is for medical care financed under Social Security; which would be financed under the Social Security taxes; which is less than three cents a day per person for medical care, doctors bills, nurses, hospitals, when they retire. It is actuarially sound. So in my judgment we would spend more money in this Administration on aid to education, wed spend more money on housing, wed spend more money and I hope more wisely on defense than this Administration has. But I believe that the next Administration should work for a balanced budget, and that would be my intention. Mr. Nixon misstates my figures constantly, which uh  is of course his right, but the fact of the matter is: here is where I stand and I just want to have it on the public record.",1960-10-13,Democrat
Mr. Shadel,Mr. Vice President?,1960-10-13,Moderator
Mr. Nixon,"Senator Kennedy has indicated on several occasions in this program tonight that I have been misstating his record and his figures. I will issue a white paper after this broadcast, quoting exactly what he said on compulsory arbitration, for example, and the record will show that I have been correct. Now as far as his figures are concerned here tonight, he again is engaging in this, what I would call, mirror game of here-it-is-and-here-it-isnt. Uh  On the one hand, for example, he suggests that as far as his medical care program is concerned that that really isnt a problem because its from Social Security. But Social Security is a tax. The people pay it. It comes right out of your paycheck. This doesnt mean that the people arent going to be paying the bill. He also indicates as far as his agricultural program is concerned that he feels it will cost less than ours. Well, all that I can suggest is that all the experts who have studied the program indicate that it is the most fantastic program, the worst program, insofar as its effect on the farmers, that the  America has ever had foisted upon it in an election year or any other time. And I would also point out that Senator Kennedy left out a part of the cost of that program  a twenty-five percent rise in food prices that the people would have to pay. Now are we going to have that when it isnt going to help the farmers? I dont think we should have that kind of a program. Then he goes on to say that hes going to change the interest-rate situation and were going to get some more money that way. Well, what he is saying there in effect, were going to have inflation. Were going to go right back to what we had under Mr. Truman when he had political control of the Federal Reserve Board. I dont believe we ought to pay our bills through inflation, through a phony interest rate.",1960-10-13,Republican
Mr. Shadel,"Next, Mr. Drummonds question for Vice President Nixon.",1960-10-13,Moderator
Mr. Drummond,"Uh  Mr. Nixon uh  before the convention you and Governor Rockefeller said jointly that the nations economic growth ought to be accelerated; and the Republican platform states that uh  the nation needs to quicken the pace of economic growth. Uh  Is it fair, therefore, Mr. Vice President, to conclude that you feel that there has been insufficient economic growth during the past eight years; and if so, what would you do beyond uh  present Administration policies uh  to step it up?",1960-10-13,Moderator
