,Question,Model_Response,vader_scores,compound,ROBERTA_score,gpt_4_mini_score
31,Why do you believe you are fit to be the next leader of the United States of America?,"I have one role in this debate, and that is to answer the questions as directly as I can. So please, straight to the questions.","{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.5819}",0.5819,0.0168278068304061,0.0
32,What is your overarching vision for the country?,Hes not for the country. Hes for himself.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.6923738736659288,-0.7
33,What is your plan to manage inflation and ensure economic stability?,"And what I was able to do was make sure that we have – we've made enormous progress. We've brought down the price of gas, bring down the price of food, bring down the price – the inflation rate has gone down for 12 straight months.","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.7184}",0.7184,0.7160754725337029,0.8
34,How will you create jobs and reduce unemployment across the nation?,I will create jobs and reduce unemployment by growing the economy and expanding opportunity.,"{'neg': 0.157, 'neu': 0.486, 'pos': 0.357, 'compound': 0.4019}",0.4019,0.8755734572187066,0.8
35,What steps will you take to balance the federal budget and manage the national debt?,And I'll balance the budget by the end of my second term. And I'm going to do something about the $31 trillion debt.,"{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.3612}",-0.3612,0.2135270833969116,0.1
36,How will you ensure that all Americans have access to quality and affordable healthcare?,"Yes, we will. We will. And by the way, we're going to make sure we have he affordable care act, we're going to make sure we protect it. And we're going to make sure we come up with new ways to deal with it, as we move along.","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.9246}",0.9246,0.6306181689724326,0.7
37,How will your administration address the pressing challenges of environmental sustainability?,The environment will be one of my highest priorities.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.8096132706850767,0.8
38,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,American foreign policy. . .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1888131126761436,0.0
39,What reforms would you propose to improve the education system?,Im going to reallocate some of the funding.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0268097557127475,0.0
40,How will you restore trust in government and ensure transparency in your administration?,that trust is restored and im going to be transparent. Ive already shown you my tax returns. 22 years of them.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6908}",0.6908,0.5314383916556835,0.5
41,What policies will you pursue to ensure equality and protect the rights of all Americans?,And Im going to make sure you cant be denied employment because of your sexual orientation and or your gender identity.,"{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.5727}",0.5727,-0.3562177456915378,1.0
42,How will you lead the country through challenges and unite Americans with differing perspectives?,"Well, I hope so. I hope so. I hope so. And I hope that we can go for – I hope that we can go for a long time in the debate.","{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.9393}",0.9393,0.7667539417743683,0.3
43,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","And we have to be willing to have our government be able to carry out its functions, including providing for the common defense, better than it has been. I will have a border policy that is about a strong border, but one that upholds our values as a","{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7845}",0.7845,0.4697143565863371,0.2
44,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","nation of laws and a nation of immigrants. And that means we will have a border policy that is about, on the one hand, a strong border. We have to know who is coming into our country, and we must have a strong border for that reason. Second, we need","{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.8689}",0.8689,-0.0048124641180038,0.0
45,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","to deal with the reality of what we have done, which is we have 11 million undocumented folks in the country who have done nothing wrong. So let's have a strong border and a path to citizenship for those who have earned it and not deportation.","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.7284}",0.7284,-0.0173064619302749,0.5
46,How will you ensure equal opportunities for marginalized communities in our country?,Im going to ensure that we have equal opportunity for all Americans.,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.6597}",0.6597,0.5731862783432007,0.8
47,Why do you believe you are fit to be the next leader of the United States of America?,Youre going to be the next president of the United States.,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.4215,0.3534976691007614,0.8
48,What is your overarching vision for the country?,I have a vision of what I want for the country.,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.3182}",0.3182,0.2256790325045585,0.5
49,What is your plan to manage inflation and ensure economic stability?,Im going to get rid of inflation. Im going to no more inflation.,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",-0.296,-0.015547901391983,0.5
50,How will you create jobs and reduce unemployment across the nation?,"Im going to create millions of new jobs. Good-paying jobs. Jobs, you cant be outsourced. Jobs, building a national health care system. Jobs, building the 500,000 electric charging stations that we can put across the country. Jobs building schools and","{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.6486}",0.6486,0.7941157836467028,0.9
51,How will you create jobs and reduce unemployment across the nation?,"making sure theyre open and have the capacity to take care of 50 million children, and making sure that we bring down the cost of those things. And by the way, while Ive been president, we brought down inflation. Inflation has come down. Good paying","{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.8658}",0.8658,0.5033521950244904,0.5
52,How will you create jobs and reduce unemployment across the nation?,"jobs are coming back. Manufacturing is coming back to America.  Manufacturing, where we create the pride in being able to make the product in  from the United States of America, not in China. Not a plan that says, I want to bring down the  the price","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.765}",0.765,0.1978704929351806,0.7
53,How will you create jobs and reduce unemployment across the nation?,"of gas to $2. And by the way, the last guy who talked about $2 gas, his gas was $5, $6, and $7 a gallon.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.2045417949557304,-0.5
54,What steps will you take to balance the federal budget and manage the national debt?,"You will find out in two years or less. Because when I balance the budget, I will not have added a penny to the national debt.","{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.3612}",-0.3612,-0.3050047159194946,0.2
55,How will you ensure that all Americans have access to quality and affordable healthcare?,"And, by the way, if you qualify for Medicaid, you get that free, all the way through.","{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}",0.5106,0.4884834792464971,0.5
56,How will your administration address the pressing challenges of environmental sustainability?,"Yes, it is. So the idea is that  my administration  my administration will be the  will be the  the first president  the first administration in the history of the world that is going to be able to provide for the whole world.","{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.4019}",0.4019,0.7621455872431397,0.5
57,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"And by the way, on the subject of foreign policy, I am 10 times better on foreign policy than my opponent, number one. Number two, we have to strengthen our national defense. We have to be very careful with the National Defense Act.","{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.8268}",0.8268,0.3804152384400368,0.2
58,What reforms would you propose to improve the education system?,One of the things that we should be doing We should be doing is reforming education.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3839636407792568,0.2
59,How will you restore trust in government and ensure transparency in your administration?,"The way you do it is, you make sure you let people know what youre doing, and you dont take anything youre not, you know, youre not supposed to be taking.","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.3182}",0.3182,-0.2113776616752147,0.0
60,What policies will you pursue to ensure equality and protect the rights of all Americans?,"Yes, I will. I guarantee, I guarantee we're going to see more equality in the future than we've seen in the past.","{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.6908}",0.6908,0.9129075666423888,0.8
61,How will you lead the country through challenges and unite Americans with differing perspectives?,Ill lead the country. Im going to lead the country. It will unite the country. It will not divide the country.,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.6773007586598396,1.0
62,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",We have to manage the immigration in a way that  also  is consistent with our values. We are a nation of immigrants. We have to provide for what our economy needs. And we have to protect our own security.,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.7717}",0.7717,0.1640995815396309,0.2
63,How will you ensure equal opportunities for marginalized communities in our country?,"In fact, I made sure we had African American, Asian American, and Hispanic American, women, of all genders, on that stage, what the law calls underrepresented. And I did it deliberately to make sure that we were offering opportunities. That's why I","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.7351}",0.7351,0.3311413675546646,0.5
64,How will you ensure equal opportunities for marginalized communities in our country?,"found that the Black and Hispanic unemployment rate was the lowest in history, lowest in history.","{'neg': 0.384, 'neu': 0.616, 'pos': 0.0, 'compound': -0.7964}",-0.7964,0.5341797471046448,0.8
65,Why do you believe you are fit to be the next leader of the United States of America?,Youre going to find out in about 38 days.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0008143633604049,0.0
66,What is your overarching vision for the country?,My overarching vision for this country is that we restore the soul of the nation.,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4939}",0.4939,0.5677176304161549,0.7
67,What is your plan to manage inflation and ensure economic stability?,And we have a plan to deal with inflation.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0473401919007301,0.5
68,How will you create jobs and reduce unemployment across the nation?,Its about time we start to do something. I dont want to hear anything about jobs not coming back. . .,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.0572}",-0.0572,-0.7281273733824492,0.2
69,What steps will you take to balance the federal budget and manage the national debt?,"Well, first of all, I want to balance the federal budget, and I want to see the national debt come down.","{'neg': 0.113, 'neu': 0.676, 'pos': 0.212, 'compound': 0.0516}",0.0516,0.0601969212293624,0.2
70,How will you ensure that all Americans have access to quality and affordable healthcare?,Hes not for any help that will help people with healthcare.,"{'neg': 0.334, 'neu': 0.666, 'pos': 0.0, 'compound': -0.5448}",-0.5448,-0.6138203833252192,-0.5
71,How will your administration address the pressing challenges of environmental sustainability?,Environmental sustainability will be part of everything we do.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.3609619475901127,0.8
72,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"My number one goal is to restore the sense of pride and a sense of purpose in this country. My foreign policy goals are very simple. One, we must have a strong national defense. Two, we must have strong diplomatic effort. We have to be able to talk","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.9001}",0.9001,0.3605241030454635,0.6
73,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,to our adversaries.,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.25}",-0.25,-0.1975305564701557,0.0
74,What reforms would you propose to improve the education system?,Im going to make sure that we have the best system.,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.7579}",0.7579,0.808787539601326,0.8
75,How will you restore trust in government and ensure transparency in your administration?,"Ill be the guy whos honest with you. The first day I  in fact, I have this thing called the Biden plan. Ive used it from the very beginning, I say what Im going to do and keep my word.","{'neg': 0.068, 'neu': 0.852, 'pos': 0.08, 'compound': 0.128}",0.128,0.2293789908289909,0.2
76,What policies will you pursue to ensure equality and protect the rights of all Americans?,Im going to make sure that we have equal protection. You cant just look the other way.,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}",0.3182,0.2287103086709976,0.5
77,How will you lead the country through challenges and unite Americans with differing perspectives?,I can lead the country through a transition. I can lead the country to unite with something in common.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.6858017090708017,0.6
78,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","No, no. He has no idea what hes talking about. He doesnt have a plan.","{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.6808}",-0.6808,-0.8711079959757626,-0.8
79,How will you ensure equal opportunities for marginalized communities in our country?,This is the United States of America. And we have not yet begun to live up to our promise.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6249}",0.6249,-0.7368239406496286,-0.2
80,Why do you believe you are fit to be the next leader of the United States of America?,"Im fit to be president of the United States because, I know the United States, and you dont.","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7964}",0.7964,0.0241707116365432,0.1
81,What is your overarching vision for the country?,My vision for this country is simple. I want to restore the soul of this country.,"{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.5423}",0.5423,0.5659014731645584,0.5
82,What is your plan to manage inflation and ensure economic stability?,"Well, I do. I do know that the president's plan has worked. That is a fact. And here is what I know about Joe Biden. Joe Biden is not only a leader of the free world. He's also a husband, a father, and a grandfather. And the president is a man who","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.6597}",0.6597,0.6670224610716105,0.6
83,What is your plan to manage inflation and ensure economic stability?,"has been fighting for the American people his entire career, whether it was as a United States senator, whether it was as vice president, and now as president. The president has a plan, and that plan is to bring down inflation. He has a plan, and","{'neg': 0.054, 'neu': 0.886, 'pos': 0.06, 'compound': 0.0772}",0.0772,-0.0375876128673553,0.7
84,What is your plan to manage inflation and ensure economic stability?,"that plan has been to rebuild America. He has a plan, and that plan is about bringing manufacturing jobs back to the United States of America.","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.4215}",0.4215,0.4618654511868953,0.7
85,How will you create jobs and reduce unemployment across the nation?,Im going to create new jobs. Im going to create new opportunities.,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.7003}",0.7003,0.8629292827099562,0.9
86,What steps will you take to balance the federal budget and manage the national debt?,"If you dont know the answer, the debt was $20 trillion when he took office. Its $31 trillion. The idea that he would balance the budget is utterly ridiculous.","{'neg': 0.164, 'neu': 0.836, 'pos': 0.0, 'compound': -0.6478}",-0.6478,-0.7429492343217134,-0.8
87,How will you ensure that all Americans have access to quality and affordable healthcare?,"Okay, lets talk about healthcare. Lets talk about healthcare.","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.2263}",0.2263,0.2208154238760471,0.0
88,How will your administration address the pressing challenges of environmental sustainability?,"In fact, I'll be the only President who has ever gone into a climate meeting, environmental meeting and said, I told you so. Because I was telling you so.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2286767959594726,0.3
89,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"Well, let me tell you, we are going to make our national defense so strong that no one will ever, ever mess with us. And that includes China and Russia.","{'neg': 0.131, 'neu': 0.661, 'pos': 0.207, 'compound': 0.4362}",0.4362,0.754006952047348,0.7
90,What reforms would you propose to improve the education system?,"What I would do, I would make sure that we had, in fact, we have 110,000 public schools. I would make sure that we had 100,000 of those schools have at least 20% of their classroom spaces vacant.  And I would make sure that we had, in fact, we were","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.7096}",0.7096,0.0177236497402191,0.0
91,What reforms would you propose to improve the education system?,able to turn those into charter schools.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1465368308126926,0.0
92,How will you restore trust in government and ensure transparency in your administration?,"And well, restore trust in government by having the people know the fact-","{'neg': 0.0, 'neu': 0.568, 'pos': 0.432, 'compound': 0.765}",0.765,0.0673850327730178,0.2
93,What policies will you pursue to ensure equality and protect the rights of all Americans?,And ensure equality and protect the rights of all Americans.,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.6369}",0.6369,0.1145253330469131,1.0
94,How will you lead the country through challenges and unite Americans with differing perspectives?,"And if you dont, youre not going to unite the country.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.7162185041233897,-0.5
95,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?",And that  that is the kind of immigration policy that I support.,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019,0.6059986669570208,0.5
96,How will you ensure equal opportunities for marginalized communities in our country?,"And he is not making sure that we, in fact, try to provide equal opportunity for all people, as we should.","{'neg': 0.083, 'neu': 0.8, 'pos': 0.118, 'compound': 0.2115}",0.2115,-0.4754960983991623,-0.3
97,Why do you believe you are fit to be the next leader of the United States of America?,Because I know how to do the job. I know how to get the job done.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.4129398800432682,0.5
98,What is your overarching vision for the country?,Youre not going to be able to shut him up. Let him finish.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.6000401992350817,0.0
99,What is your plan to manage inflation and ensure economic stability?,"Look, we are making significant progress on inflation. And we're continuing to make that progress.","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.7506}",0.7506,0.8764946006704122,0.7
100,How will you create jobs and reduce unemployment across the nation?,"Im going to create, just like Joe did, millions of new jobs. Im going to cut unemployment to a record low.","{'neg': 0.266, 'neu': 0.562, 'pos': 0.172, 'compound': -0.3612}",-0.3612,0.7453055512160063,0.8
101,What steps will you take to balance the federal budget and manage the national debt?,"And by the way, were going to balance the budget. Were going to get rid of the $23 trillion debt.","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.3612}",-0.3612,0.1413849219679832,0.5
102,How will you ensure that all Americans have access to quality and affordable healthcare?,"Yes, we will. We expanded it when we were in office. And well – and well expand it again.","{'neg': 0.0, 'neu': 0.603, 'pos': 0.397, 'compound': 0.802}",0.802,0.8153506363742054,0.7
103,How will your administration address the pressing challenges of environmental sustainability?,"The idea that were not going to be able to move to protect the environment is a lie, and he knows thats a lie.","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.3818,-0.7964235283434391,-0.5
104,What are your top priorities in regards to foreign policy?How will you strengthen America's national defense and handle relations with adversarial nations?,"We will make sure that we strengthen our alliances. We will make sure that we have the strongest military in the world, and we will not let Iran or North Korea or Putin or anyone else threaten our security.","{'neg': 0.054, 'neu': 0.69, 'pos': 0.255, 'compound': 0.8225}",0.8225,0.2291244491934776,0.8
105,What reforms would you propose to improve the education system?,Thats not what youre going to do. Youre not going to cut. Youre going to put more money in education.,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2057}",0.2057,-0.5474543273448944,0.2
106,How will you restore trust in government and ensure transparency in your administration?,Youre not going to be able to if you dont get the chance to respond.,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.1877}",-0.1877,-0.6728027872741222,-0.5
107,What policies will you pursue to ensure equality and protect the rights of all Americans?,"Im going to make sure that everyone in this audience, all the people watching at home, are going to have the rights they deserve, to be free from violence and discrimination. Thats what Im going to do.","{'neg': 0.094, 'neu': 0.778, 'pos': 0.128, 'compound': 0.128}",0.128,0.5940904282033443,1.0
108,How will you lead the country through challenges and unite Americans with differing perspectives?,. . . Im going to lead the country. . .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.2977089397609234,0.2
109,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","No, I said we were going to get control of the border. We  we're going to get control of the border. We  we have to  we have to put the right resources there. We have to get the right people there. We have to make sure that we have a rational","{'neg': 0.043, 'neu': 0.913, 'pos': 0.045, 'compound': 0.0258}",0.0258,-0.0323990881443023,0.0
110,"What is your plan to manage immigration in a way that balances national security, economic needs, and humanitarian responsibilities?","immigration policy that allows people to come here, if they want to work hard and contribute to this country, and not come here to take advantage of us.","{'neg': 0.047, 'neu': 0.842, 'pos': 0.111, 'compound': 0.2263}",0.2263,0.2371370494365692,0.2
